code,profile_spec_name,required_vi,optional_vi
01.03.02,Прикладная математика и информатика. Профиль образовательной программы «Большие и открытые данные»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
07.03.01,Архитектура. Профиль образовательной программы «Архитектура»,русский язык;прикладная математика;черчение;рисунок архитектурный,Нет
07.03.03,Дизайн архитектурной среды. Профиль образовательной программы «Дизайн архитектурной среды»,русский язык;прикладная математика;черчение;рисунок архитектурный,Нет
08.03.01,Строительство. Профиль образовательной программы «Промышленное и гражданское строительство»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
08.03.01,Строительство. Профиль образовательной программы «Строительство и эксплуатация зданий и сооружений»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
08.03.01,Строительство. Профиль образовательной программы «Теплогазоснабжение и вентиляция»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
09.03.01,Информатика и вычислительная техника Профиль образовательной программы «Программное обеспечение средств вычислительной техники и автоматизированных систем»,"русский язык;основы математического анализа, логики и теории вероятностей;информационные технологии в профессиональной деятельности",Нет
09.03.01,Информатика и вычислительная техника Профиль образовательной программы «Проектирование и разработка Web-приложений»,"русский язык;основы математического анализа, логики и теории вероятностей;информационные технологии в профессиональной деятельности",Нет
09.03.01,Информатика и вычислительная техника Профиль образовательной программы «Логика и дизайн пользовательских интерфейсов»,"русский язык;основы математического анализа, логики и теории вероятностей;информационные технологии в профессиональной деятельности",Нет
09.03.03,Прикладная информатика. Профиль образовательной программы «Управление проектами разработки бизнес-приложений для цифровой экономики»,"русский язык;основы математического анализа, логики и теории вероятностей;информационные технологии в профессиональной деятельности",Нет
09.03.03,Прикладная информатика. Профиль образовательной программы «Разработка компьютерных игр и AR/VR-приложений (виртуальной/дополненной реальности)»,"русский язык;основы математического анализа, логики и теории вероятностей;информационные технологии в профессиональной деятельности",Нет
11.03.04,Электроника и наноэлектроника. Профиль образовательной программы «Интернет вещей в промышленной электронике»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
11.03.04,Электроника и наноэлектроника. Профиль образовательной программы «Промышленная электроника информационных систем»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
12.03.01,Приборостроение Профиль образовательной программы «Интеллектуальные системы неразрушающего контроля»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
13.03.01,Теплоэнергетика и теплотехника. Профиль образовательной программы «Энергообеспечение предприятий»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
13.03.02,Электроэнергетика и электротехника. Профиль образовательной программы «Электроснабжение»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
13.03.02,Электроэнергетика и электротехника Профиль образовательной программы «Электропривод и автоматика»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
15.03.01,Машиностроение. Профиль образовательной программы «Машины и технологии обработки металлов давлением»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
15.03.01,Машиностроение. Профиль образовательной программы «Оборудование и технология сварочного производства»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
15.03.02,Технологические машины и оборудование. Профиль образовательной программы « Компьютерное моделирование и проектирование в машиностроении»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
15.03.02,Технологические машины и оборудование. Профиль образовательной программы «Металлургические машины и оборудование»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств. Профиль образовательной программы «Системная инженерия машиностроительных технологий»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
15.03.06,Мехатроника и робототехника. Профиль образовательной программы «Мехатронные системы в автоматизированном производстве»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
18.03.01,Химическая технология. Профиль образовательной программы «Химическая технология природных энергоносителей и углеродных материалов»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
19.03.02,Продукты питания из растительного сырья. Профиль образовательной программы «Технология и организация индустриального производства кулинарной продукции и кондитерских изделий»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
20.03.01,Техносферная безопасность. Профиль образовательной программы «Управление экологической и промышленной безопасностью»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
22.03.01,Материаловедение и технологии материалов. Профиль образовательной программы «Материаловедение и технологии материалов (в машиностроении)»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
22.03.02,Металлургия Профиль образовательной программы «Информационные технологии в современных литейных процессах»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
22.03.02,Металлургия Профиль образовательной программы «Технология литейных процессов»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
22.03.02,Металлургия Профиль образовательной программы «Металлургия черных металлов»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
22.03.02,Металлургия Профиль образовательной программы «Технологии производства и обработки черных металлов и сплавов»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
22.03.02,Металлургия Профиль образовательной программы «Обработка металлов давлением»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
22.03.02,Металлургия (ФИЛИАЛ). Профиль образовательной программы «Обработка металлов и сплавов давлением (метизное производство)»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
23.03.02,Наземные транспортно-технологические комплексы. Профиль образовательной программы Транспорто-технологические машины нефтегазовй отрасли,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
23.03.03,Эксплуатация транспортно-технологических машин и комплексов. Профиль образовательной программы «Эксплуатация и сервисное обслуживание автомобильного транспорта»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
27.03.01,"Стандартизация и метрология. Профиль образовательной программы «Стандартизация, менеджмент и контроль качества»",русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
27.03.04,Управление в технических системах. Профиль образовательной программы «Системы и средства автоматизации технологических процессов»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
29.03.03,Технология полиграфического и упаковочного производства. Профиль образовательной программы «Промышленный дизайн и принтмедиа технологии»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
29.03.04,Технология художественной обработки материалов. Профиль образовательной программы «Предметный дизайн и технология художественной обработки материалов»,русский язык;прикладная математика;композиция,Нет
29.03.04,Технология художественной обработки материалов. Профиль образовательной программы «Ювелирное дело и художественная обработка природного камня»,русский язык;прикладная математика;композиция,Нет
29.03.05,"Конструирование изделий легкой промышленности. Профиль образовательной программы «Дизайн, конструирование и цифровое моделирование одежды»",русский язык;прикладная математика;декоративная композиция,Нет
37.03.01,Психология. Профиль образовательной программы «Практическая психология»,русский язык;Человек. Анатомия. ЗОЖ;основы профессиональной коммуникации,Нет
38.03.01,Экономика. Профиль образовательной программы «Экономика и бизнес-аналитика»,русский язык;экономические и правовые основы в профессиональной деятельности;информационные технологии в профессиональной деятельности,Нет
38.03.01,"Экономика. Профиль образовательной программы «Экономика, финансы и учет в бизнесе»",русский язык;экономические и правовые основы в профессиональной деятельности;информационные технологии в профессиональной деятельности,Нет
38.03.01,Экономика. (ФИЛИАЛ). Профиль образовательной программы «Экономика предприятий и организаций»,русский язык;экономические и правовые основы в профессиональной деятельности;информационные технологии в профессиональной деятельности,Нет
38.03.02,Менеджмент. Профиль образовательной программы «Управление бизнес-процессами и финансы предприятий»,русский язык;экономические и правовые основы в профессиональной деятельности;информационные технологии в профессиональной деятельности,Нет
38.03.02,Менеджмент. Профиль образовательной программы «Менеджмент организации»,русский язык;экономические и правовые основы в профессиональной деятельности;информационные технологии в профессиональной деятельности,Нет
38.03.02,Менеджмент. Профиль образовательной программы «Логистика и управление транспортными системами»,русский язык;экономические и правовые основы в профессиональной деятельности;информационные технологии в профессиональной деятельности,Нет
38.03.03,Управление персоналом. Профиль образовательной программы «Управление персоналом в организации»,русский язык;экономические и правовые основы в профессиональной деятельности;основы профессиональной коммуникации,Нет
38.03.04,Государственное и муниципальное управление. Профиль образовательной программы «Государственная и муниципальная служба»,русский язык;экономические и правовые основы в профессиональной деятельности;основы профессиональной коммуникации,Нет
39.03.01,Социология. Профиль образовательной программы «Социологические и маркетинговые исследования»,"русский язык;человек, общество, государство;основы профессиональной коммуникации",Нет
39.03.02,Социальная работа Профиль образовательной программы «Технологии и практики социального развития и предпринимательства»,"русский язык;человек, общество, государство;основы профессиональной коммуникации",Нет
40.03.01,Юриспруденция Профиль образовательной программы «Юриспруденция»,русский язык;конституционное право Российской Федерации;правовые основы общества,Нет
42.03.01,Реклама и связи с общественностью. Профиль образовательной программы «Коммуникации в цифровой среде»,русский язык;медиакоммуникации;основы профессиональной коммуникации,Нет
42.03.02,Журналистика. Профиль образовательной программы «Конвергентная журналистика»,русский язык;медиакоммуникации;журналистика,Нет
43.03.02,Туризм. Профиль образовательной программы «Управление туристическим бизнесом»,русский язык;экономические и правовые основы в профессиональной деятельности;информационные технологии в профессиональной деятельности,Нет
44.03.01,Педагогическое образование. Профиль образовательной программы «Физическая культура»,русский язык;Человек. Анатомия. ЗОЖ;физическая культура,Нет
44.03.01,Педагогическое образование. Профиль образовательной программы «Начальное образование»,русский язык;основы педагогики и психологии;основы профессиональной коммуникации,Нет
44.03.01,Педагогическое образование (ФИЛИАЛ). Профиль образовательной программы «Начальное образование»,русский язык;основы педагогики и психологии;основы профессиональной коммуникации,Нет
44.03.01,Педагогическое образование (ФИЛИАЛ). Профиль образовательной программы «Дошкольное образование»,русский язык;основы педагогики и психологии;основы профессиональной коммуникации,Нет
44.03.01,Педагогическое образование. Профиль образовательной программы «Русский язык в полиэтнической образовательной среде»,русский язык;основы педагогики и психологии;основы профессиональной коммуникации,Нет
44.03.02,Психолого-педагогическое образование. Профиль образовательной программы «Психология и педагогика дошкольного образования»,русский язык;основы педагогики и психологии;основы профессиональной коммуникации,Нет
44.03.02,Психолого-педагогическое образование. Профиль образовательной программы «Психолого-педагогическое сопровождение личности в непрерывном образовании,русский язык;основы педагогики и психологии;основы профессиональной коммуникации,Нет
44.03.02,Психолого-педагогическое образование. Профиль образовательной программы «Психолого-педагогическое консультирование и медиации в образовании»,русский язык;основы педагогики и психологии;основы профессиональной коммуникации,Нет
44.03.03,Специальное (дефектологическое) образование. Профиль образовательной программы «Дефектология»,русский язык;основы педагогики и психологии;естественные науки о человеке и ортокоммуникация,Нет
44.03.05,Педагогическое образование (с двумя профилями подготовки). Информатика и экономика,русский язык;основы педагогики и психологии;информатика и современные информационные технологии,Нет
44.03.05,Педагогическое образование (с двумя профилями подготовки). История и география,русский язык;основы педагогики и психологии;основы профессиональной коммуникации,Нет
44.03.05,Педагогическое образование (с двумя профилями подготовки). Математика и физика,русский язык;теоретические основы математики с методикой преподавания;основы педагогики и психологии,Нет
44.03.05,Педагогическое образование (с двумя профилями подготовки). Химия и биология,русский язык;основы педагогики и психологии;основы профессиональной коммуникации,Нет
44.03.05,Педагогическое образование (с двумя профилями подготовки). Дошкольное образование и дополнительное образование,русский язык;основы профессиональной коммуникации;педагогика и детская психология,Нет
44.03.05,Педагогическое образование (с двумя профилями подготовки). История и обществознание,русский язык;основы педагогики и психологии;основы профессиональной коммуникации,Нет
44.03.05,Педагогическое образование (с двумя профилями подготовки). Начальное образование и организация воспитательной работы,русский язык;основы педагогики и психологии;основы профессиональной коммуникации,Нет
44.03.05,Педагогическое образование (с двумя профилями подготовки). Английский язык и китайский язык,русский язык;основы педагогики и психологии;иностранный язык в профессиональной коммуникации (английский),Нет
44.03.05,Педагогическое образование (с двумя профилями подготовки). Немецкий язык и английский язык,русский язык;основы педагогики и психологии;иностранный язык в профессиональной коммуникации (английский),Нет
44.03.05,Педагогическое образование (с двумя профилями подготовки). Русский язык и литература,русский язык;основы педагогики и психологии;основы профессиональной коммуникации,Нет
44.03.05,Педагогическое образование (с двумя профилями подготовки). Технология и цифровое моделирование,русский язык;основы педагогики и психологии;композиция,Нет
45.03.01,Филология. Профиль образовательной программы «Медиа и культурные коммуникации»,русский язык;основы профессиональной коммуникации;сочинение,Нет
45.03.01,Филология. Профиль образовательной программы «Филологическое обеспечение профессиональных коммуникаций»,русский язык;основы профессиональной коммуникации;сочинение,Нет
46.03.02,Документоведение и архивоведение. Профиль образовательной программы «Документоведение и документационное обеспечение управления»,русский язык;документационное обеспечение управления;основы профессиональной коммуникации,Нет
49.03.01,Физическая культура. Профиль образовательной программы «Спортивный менеджмент и судейство спортивных соревнований»,русский язык;Человек. Анатомия. ЗОЖ;судейство по видам спорта,Нет
54.03.01,Дизайн. Профиль образовательной программы «Графический дизайн»,русский язык;история изобразительного искусства;рисунок,Нет
54.03.01,Дизайн. Профиль образовательной программы «Дизайн среды»,русский язык;история изобразительного искусства;рисунок,Нет
10.05.03,Информационная безопасность автоматизированных систем. Профиль образовательной программы «Разработка автоматизированных систем в защищенном исполнении»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
21.05.04,Горное дело. Профиль образовательной программы «Маркшейдерское дело»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
21.05.04,Горное дело. Профиль образовательной программы «Обогащение полезных ископаемых»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
21.05.04,Горное дело. Профиль образовательной программы «Подземная разработка рудных месторождений»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
21.05.04,Горное дело. Профиль образовательной программы «Открытые горные работы»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
21.05.04,Горное дело. Профиль образовательной программы «Горные машины и оборудование»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
23.05.04,Эксплуатация железных дорог. Профиль образовательной программы «Промышленный транспорт»,русский язык;прикладная математика;информационные технологии в профессиональной деятельности,Нет
37.05.02,Психология служебной деятельности. Профиль образовательной программы «Психология безопасности»,русский язык;Человек. Анатомия. ЗОЖ;основы профессиональной коммуникации,Нет
45.05.01,Перевод и переводоведение. Профиль образовательной программы «Английский язык и китайский язык»,русский язык;иностранный язык в профессиональной коммуникации (английский);основы профессиональной коммуникации,Нет
